university_id; university_name; type; region
110;Kryvyj Rih State Pedagogical University;Humanitarian;Center
111;Zaporizhzhia Institute of Economics and Information Technologies;Economical;South
112;Zaporizhzhya Aviation College named after Ivchenko O.H.;Technical;South
113; Poltava National Pedagogical University named after V.G. Korolenko;Pedagogical;Center
