id; name; university_id
189;KPNU_3;97
190;KPNU_1;97
191;TNTUGK_16plus;101
192;VNTU_RED;104
193;TNTU_TNT;100
194;ZC-TNTU_Prime*;106
195;DonNU_FMIT-1;94
196;KhNU_Compilation_Error*;96
197;TNTUHC_Domamorych;102
198;TNEU_C#2;98
199;DonNU_Warriors;94
200;CHNU_APM_FastPinkBanana;93
201;KhNU_CodeMates;96
202;CHNU_APM_FTW;93
203;TNPU_StackOverflow;99
204;KhmPC_BamBuK* ;95
205;KhNU_Reverse_Polarity;96
206;BATI_Energy*;92
207;DonNU_Hollywood ;94
208;VNTU_.pgg();104
209;VNTU_[figTree];104
210;TNTUGK_fixiki;101
211;VNTU_Destructor;104
212;KhNU_rva_team* ;96
213;KhmPC_NoSaTka  ;95
214;TNTU_qwerty;100
215;TNEU_C#1;98
216;VSPU_Bomb;105
