university_id; university_name; type; region
114;Volodymyr Vynnychenko Central Ukrainian State Pedagogical University;Humanitarian;South
115;National University of Kyiv-Mohyla Academy;Classic;Center
116;Petro Mohyla Black Sea National University;Classic;South
