name; university_id
Grinchenko;1
CHNTU_NpT;2
ZhSU_4bit;3
ZhSU_Dream_Team;3
ZhSU_if else if else statement;3
ZhSU_Robotyagi;3
ZhSU_Silent;3
ZhSU_Sky.NET;3
ZhSU_Tarasoft_Corp;3
ZhSU_TLP;3
ZhSU_Zhuchata;3
KNTEU_Argus;4
KNTEU_FMTP_3_17;4
KNTEU_FOAIS_2;4
KNTEU_SAD_BOYS;4
KNUKiM_4;5
KNUBA_CODING;6
KNUBA_COMPILATION;6
KNUBA_GOTO;6
KNUBA_ORIGINALS;6
KNUBA_ROSE;6
NAU_Agile developers;8
NPU_IPZ;9
NPU_IPZ*;9
NPU_KiNo;9
NPU_noBugEx;9
IT-62;10
KPI BayWatch;10
KPI_CST;10
KPI_Na_DO;10
NTUU_KPI_Alligators;10
NTUU_KPI_Challenge Accepted;10
NTUU_KPI_Hindenburg;10
NTUU_KPI_IT_62;10
NTUU_KPI_KDI;10
NTUU_KPI_NewFolder;10
NTUU_KPI_Yenoty;10
NTUU_KPI_ZeDaw;10
NUFT_Makeguile;11
NUFT_Mandelbrot's_children;11
NUFT_Pink_Unicorn;11
NUFT_Small_Bang;11
NUBiP_#timeless;12
NUBiP_127_0_0_1;12
NUBiP_AFC;12
NUBIP_bilyash;12
NUBIP_Brain_Hub;12
NUBiP_CLAY;12
NUBIP_Developers2;12
NUBIP_Electron;12
NUBIP_Emperors;12
NUBiP_Enigma;12
NUBiP_FirstKN;12
NUBIP_fixies;12
NUBiP_Girls_KN;12
NUBiP_IceBreaker;12
NUBIP_IT_Gang;12
NUBIP_NoName;12
NUBiP_ShortCircuit;12
NUBiP_XMan;12
NUSTA_Taxman_1;13
NUSTA_Taxman_2;13
NDU_Romashka++;14
SUT_out_of_Bounce;16
SSU_Dreamteam;17
SSU_KAM;17
SSU_Lamers;17
SSU_Saloeaters;17
KNU \(>.<)/;18
KNU $teamName;18
KNU 13 pixels;18
KNU A-Team;18
KNU Alpha team;18
KNU Arctic Mamki;18
KNU avenged;18
KNU avenged_2th;18
KNU Bananas;18
KNU Confused;18
KNU Convinced pirates;18
KNU Crutchbusters;18
KNU curver;18
KNU datasource;18
KNU EjudgeCrashers;18
KNU Fabulous\_($-_-$)_/donkeys;18
KNU Fahrenheit 451;18
KNU Hurtok Snizhynka;18
KNU IGnOR;18
KNU KEK;18
KNU Madokami & Black Tulip;18
KNU MagiC++;18
KNU OGs;18
KNU PAKETA;18
KNU Po$i+i√e $qu∆d;18
KNU PotataBananaaa;18
KNU Potom Pridumaem;18
KNU Predecessors;18
KNU PureVirtual;18
KNU Smith_Akbar;18
KNU Sojourners;18
KNU Soldiers;18
KNU StraightArms;18
KNU Tripovalnya;18
KNU Velosiped;18
KNU WakeUp;18
KNU We_love_Emilia;18
KNUTS;18
KNUTS;18
obsoleteDatasource;18
qqqq;18
TSKNU_Radiophysics;18
We_love_Emelia;18
xxxx;18
IPPZ_2017_21;19
IPPZ_2017_22;19
IPPZ_2017_31;19
IPPZ_2017_32;19
IPPZ_2017_33;19
IPPZ_2017_34;19
IPPZ_2017_35;19
IPPZ_2017_41;19
IPPZ_2017_42;19
IPPZ_2017_43;19
kisit_code_villains;19
KNEU_Binary;19
KNEU_Development;19
KNEU_Dreamteam;19
KNEU_SSD;19
KNEU_Unoutfoxables;19
KNEU_VARD;19
ZSTU_121;20
ZSTU_4yx-4yx;20
ZSTU_DivineCoders;20
ZSTU_DLS;20
ZSTU_GBG;20
ZSTU_GeekMen;20
ZSTU_NoteCode;20
ZSTU_PHP_TEAM;20
ZSTU_TWIT;20
KhAI_302_2;21
KhAI_302_Deus_Vult;21
KHAI_Anchors;21
KhAI_ASU_MOPS;21
KhAI_district_69;21
KhAI_Gradient;21
KHAI_HAIIIu;21
KhAI_IT_universe;21
KhAI_KBU;21
KhAI_Next;21
KhAI_NULL_Team;21
KhAI_Slonick;21
KhAI_Su-7B;21
KhAI_Table;21
KhAI_Team_Orange;21
KHAI_Top_team;21
KhAI_Trio_01;21
KhAI_v_damki;21
KhAI_WorkForFood;21
KHAI_Wreck;21
KhNURE_3anchors;22
KhNURE_ADOM;22
KhNURE_Atlantis;22
KhNURE_BFG;22
KhNURE_BOM;22
KhNURE_Cheetah;22
KhNURE_DigitalImpulse;22
KhNURE_Energy;22
KhNURE_Enjoy;22
KhNURE_ILITA;22
KhNURE_JustTeam;22
KhNURE_KBU;22
KhNURE_KG;22
KhNURE_KOI8;22
KhNURE_LLUN;22
KhNURE_LTWN;22
KhNURE_LuckyCommunity;22
KhNURE_Master Minds;22
KhNURE_Nazvanie;22
KhNURE_Nix;22
KhNURE_Penguins;22
KhNURE_RandomPeople;22
KhNURE_RM-RF;22
KhNURE_Sigma;22
KhNURE_T-sigma;22
KhNPU_Boys_&_Me;30
KhNPU_Girls;30
KhNPU_sprinters;30
KhNU_AnotherTeam;30
KhNU_ATV;30
KhNU_BDSH;30
KhNU_blackdoor;30
KhNU_BMY;30
KhNU_FKS;30
KhNU_FSociety;30
KhNU_Lada;30
KhNU_LogicSauce;30
KhNU_M.M.M.;30
KhNU_NatusEncode;30
KhNU_Nucleus;30
KhNU_Ordinarys;30
KhNU_Prog4Life;30
KhNU_PussyDestroyers;30
KhNU_STILYAGI;30
KhNU_Surgeons;30
KhNU_The_Overloaded;30
KhNU_UT'UG;30
KhNU_YetAnotherTeam;30
KhNUE_Infinity;31
KhNUE_InTo;31
KhNUE_K.O.S.;31
KhNUE_KOPTeam;31
KhNUE_NatusPRO;31
KhNUE_RaringRingtail;31
KhNUE_Sandbox;31
NTU_KhPI_CIT-1;32
NTU_KhPI_CIT-2;32
NTU_KhPI_CIT-3;32
NTU_KhPI_DreamTM;32
NTU_KhPI_GG;32
NTU_KhPI_KMPS;32
NTU_KhPI_KMS++;32
NTU_KhPI_LuCheK;32
NTU_KhPI_Morituri::Reborn;32
NTU_KhPI_RescueRangers;32
NTU_KhPI_Resolved;32
NTU_KhPI_SampleText;32
NTU_KhPI_WABEPMAXT;32
NTU_KhPI_Zen;32
DSEA:Academics;35
DSEA:BooleanTrue;35
DSEA:Bytecode;35
DSEA:CodeTesters;35
DSEA:Cyberspace;35
DSEA:Heroes of Code and Magic;35
DSEA:IT16-1;35
DSEA:KIT;35
DSEA:Locomotive;35
DSEA:Matrix;35
DSEA:MissDGMA2016;35
DSEA:SMinc;35
DNURT_C0DEBREAK3RS;36
DNURT_Capcha;36
DNURT_Excetica;36
DNURT_HESOYAM;36
DNURT_Juniors;36
DNURT_MMD;36
DNURT_Triforce;36
NMETAU_EK;38
NMETAU_EK1;38
NMETAU_Metal;38
Reshaper's;40
ChNUBKh 1plus2;41
ChNUBKh Alive Cluster;41
ChNUBKh Asimple;41
ChNUBKh CppZen;41
ChNUBKh Hopefull;41
ChNUBKh On the Knee Production;41
ChNUBKh Riders On The Storm;41
ChNUBKh Team A++;41
ChNUBKh VVS;41
PNTU_Knights_of_C#;42
PNTU_Quasars 2.0;42
PoltNTU_CE3_17;42
PoltNTU_Trinity;42
DNU_47th_Bit;43
DNU_53;43
DNU_BigBugTheory;43
