name; university_id
NAU_R.E.D._Team_2.0;8
KNU_Kektus*;18
KhPI_Morituri::Reborn;32
17-15;82
MMC_OutOfMemory;117
NaUKMA_TeterivV;115
SSU_up2olymp;17
NTUU_KPI_VRTeam;10
NTUU_KPI_ExtremeLabor;10
LNU Hryadochka;82
LNU XXL;82
LNU Jackals;82
NULP_Phoenix;83
UCUkuriku;88
UCUlele;88
UzhNU_MaybeEasyWin;89
UzhNU_Auturismo;89
UzhNU_KSUV*;89
ChNUBKh Supernova*;41
DNU_FIBONACCIPLUSPLUS;43
PUET_SickOurDucks;53
DNU_Toxic_and_Proud;43
DNU_47th_Bit;43
DSTU_Starlight;39
ONU_PRIMATES;69
ONU_Wrong_Answer;69
ONU_KappaPride;69
ZNTU_Question_Mark;76
BSNU_TopSquad;116
ONPU_GreenOracle*;70
KhNU_Surgeons;30
KhNURE__RandomPeople;22
KhNUE_El_psy_kongroo;31
KhNU_AnotherTeam:United;30
KhNURE_Brainstorm;22
KhNU_DOROGA*;30
KhNUE__IQ++*;31
KhPI_Hospice*;32
DonNU_make_AI_not_war*;94
DonNU_Fearless;94
VNTU_Meme_Lords;104
ChNU_FMI_PurCharm;93
VNTU_4REST;104
KNU_is_Not_Unix;18
KNU_MaxFun;18
KhNURE_NRG;22
ONAFT_keep_it_simple*;67
ctrl-c ctrl-v;83
